tld,dot_num,avg_host,max_host,avg_path,max_path,class
com,1,8.0,13,7.785714285714286,23,good
top,1,7.5,8,6.0,6,bad
ru,0,9.0,9,5.0,5,bad
com.br,0,15.0,15,1.75,3,bad
com,1,6.0,9,5.666666666666667,7,good
org,1,14.0,19,7.285714285714286,21,bad
ru,1,5.0,7,4.333333333333333,5,good
pl,0,3.0,3,0.0,0,bad
ru,0,8.0,8,5.0,8,good
org,0,17.0,17,3.0,5,bad
org,0,8.0,8,4.0,7,bad
com,0,5.333333333333333,6,5.555555555555555,8,bad
gov.au,1,3.0,3,6.0,12,good
net,0,5.0,5,3.875,7,bad
com,1,4.0,5,5.875,9,good
edu,1,3.5,5,0.0,0,good
org,1,6.0,9,3.5,9,good
org,1,7.0,11,0.0,0,good
com.au,0,13.0,13,0.0,0,bad
org,0,4.0,4,10.0,16,good
com,1,2.5,3,5.2,7,good
com.au,1,3.5,4,5.5,10,bad
za,1,10.0,18,6.9,18,bad
org,1,6.0,9,5.75,8,good
org,2,4.0,9,3.0,5,good
edu.ph,1,3.5,4,9.666666666666666,16,good
com,1,4.5,7,0.0,0,good
com,1,5.0,8,3.875,8,good
com,0,11.0,11,0.0,0,bad
ca,0,16.0,16,5.0,9,bad
com,1,6.0,7,1.0,2,good
fr,0,16.0,16,8.0,8,bad
mn,1,5.5,6,5.0,7,good
org,1,5.5,9,3.0,5,good
com,0,20.0,20,8.0,8,bad
com,0,13.0,13,0.0,0,bad
fr,1,3.5,4,9.0,18,good
com.br,0,13.0,13,2.3333333333333335,3,bad
com,1,10.5,18,5.916666666666667,11,good
gq,0,14.0,14,83.0,83,bad
com,0,5.0,7,7.0,7,bad
gov,0,4.0,4,4.857142857142857,7,good
com,0,16.0,16,5.0,7,good
ru,1,8.0,13,0.0,0,good
net,1,6.0,9,3.8,6,good
net,0,5.0,5,4.0,5,bad
com,1,9.0,15,6.3,14,good
jp,2,5.333333333333333,9,2.0,2,good
hu,1,4.333333333333333,6,5.0,5,bad
ws,0,17.0,17,5.0,5,bad
eu,0,5.0,5,0.0,0,bad
info,0,16.0,16,3.0,6,bad
com,0,12.0,12,6.0,6,bad
com,0,17.0,17,8.444444444444445,32,bad
com,1,4.5,6,5.333333333333333,8,good
us,3,3.0,4,3.0,6,good
es,1,7.0,7,5.5,10,good
tk,0,4.0,5,9.0,9,bad
com.br,1,5.0,6,7.285714285714286,21,bad
com,1,5.0,7,14.0,14,bad
edu,2,5.333333333333333,7,3.5,6,good
org,1,5.5,9,4.0,4,good
com.br,0,19.0,19,5.333333333333333,7,bad
dz,1,3.5,4,4.0,6,good
edu,1,6.0,7,3.5,6,good
net,0,8.0,8,9.142857142857142,32,bad
gov.au,2,4.333333333333333,6,5.5,6,good
com,0,7.0,7,4.5,7,bad
com,1,6.5,9,4.555555555555555,7,good
com.br,0,13.0,13,13.5,32,bad
com,1,5.0,7,10.0,10,good
cba.pl,0,10.0,10,0.0,0,bad
com,1,5.5,9,6.0,6,good
org,2,4.0,9,3.0,5,good
com,0,9.0,9,8.0,8,bad
com,0,12.0,12,7.2,11,bad
es,1,4.5,6,5.5,10,good
es,1,6.0,8,5.5,10,good
org,1,6.5,10,5.8,11,good
uk,1,6.5,11,3.6666666666666665,7,bad
edu,1,4.0,5,9.0,15,good
gov,1,6.0,7,10.0,19,good
ru,0,13.0,13,4.333333333333333,8,bad
com.au,0,12.0,12,4.4,7,bad
info,0,1.5,2,6.0,9,good
com.py,0,9.0,9,6.4,14,bad
ca,1,4.0,6,0.0,0,good
com,1,9.0,15,8.6,16,good
com,0,11.0,11,6.0,6,bad
org,0,17.0,17,5.428571428571429,9,bad
to,1,10.5,16,0.0,0,bad
org,0,18.0,18,5.5,7,good
gov,1,3.0,3,5.6,8,good
net,1,5.5,8,6.0,9,good
com,1,6.0,9,3.75,7,good
mn,2,3.0,3,0.0,0,good
com,1,8.0,9,2.5,5,good
org,1,6.5,10,3.5,5,good
cz,0,9.0,9,5.5,8,bad
com,0,21.0,21,3.25,5,bad
com,1,6.5,10,6.0,10,good
edu.tr,2,5.666666666666667,7,3.5,6,good
com.ar,0,15.0,15,3.0,7,bad
org,1,5.5,9,5.666666666666667,8,good
za,1,4.0,6,10.166666666666666,32,bad
com,1,9.0,10,4.666666666666667,10,good
es,1,8.0,13,5.25,7,bad
com,1,4.6,9,9.833333333333334,16,bad
com,1,7.666666666666667,10,0.0,0,bad
org,0,13.0,13,6.5,16,bad
org,1,5.5,9,5.0,6,good
com,2,4.333333333333333,7,7.0,7,bad
net,0,7.0,7,3.6666666666666665,5,bad
info,0,7.0,7,0.0,0,bad
top,1,7.5,10,5.846153846153846,12,bad
com,1,9.0,15,5.0,8,good
com,1,5.5,8,5.5,9,good
com,1,7.0,11,8.0,8,good
gr,0,10.0,10,6.75,7,bad
ca,3,4.5,8,4.333333333333333,6,good
