tld,dot_num,avg_host,max_host,avg_path,max_path
info,0,11.0,11,5.666666666666667,8
com.ar,0,12.0,12,5.0,7
net,1,9.5,14,3.5,4
ro,0,7.0,7,5.416666666666667,11
ro,0,7.0,7,5.5,11
at,0,2.3333333333333335,3,3.3333333333333335,6
net,0,6.0,6,3.5,4
org,1,6.5,10,5.5,6
com.br,0,16.0,16,5.666666666666667,8
uk,3,4.25,7,5.666666666666667,8
ro,0,10.0,10,5.666666666666667,8
at,0,2.3333333333333335,3,4.333333333333333,6
com,0,25.0,25,5.666666666666667,8
gr,0,15.0,15,5.666666666666667,8
at,0,2.3333333333333335,3,4.0,6
at,0,2.3333333333333335,3,4.0,6
mx,1,5.0,7,0.0,0
rs,1,4.5,7,5.0,6
at,0,2.3333333333333335,3,3.6666666666666665,6
at,0,2.3333333333333335,3,3.3333333333333335,6
at,0,2.3333333333333335,3,8.333333333333334,16
at,0,2.3333333333333335,3,4.666666666666667,6
at,0,2.3333333333333335,3,3.6666666666666665,6
nu,1,6.0,10,2.5,3
at,0,2.3333333333333335,3,3.6666666666666665,6
at,0,2.3333333333333335,3,3.6666666666666665,6
at,0,2.3333333333333335,3,6.333333333333333,10
nl,0,12.0,12,3.25,5
com,0,12.0,12,6.5,10
ru,1,3.5,4,5.75,9
by,0,8.0,8,5.75,9
at,0,2.3333333333333335,3,4.333333333333333,6
de,0,5.0,7,3.6666666666666665,4
biz,1,9.5,15,4.0,6
at,0,2.3333333333333335,3,3.3333333333333335,6
at,0,2.3333333333333335,3,5.666666666666667,8
cc,1,4.5,8,5.8,9
com,0,14.0,14,5.833333333333333,10
org,0,13.0,13,5.0,8
com,1,9.0,17,6.0,10
com,1,6.5,12,6.0,10
com,1,7.5,14,5.25,7
org,1,6.5,12,6.0,10
com,1,3.0,5,6.0,10
com.br,0,18.0,18,4.25,6
name,1,8.5,13,4.0,6
com,1,12.5,18,2.6,5
com,1,9.5,13,3.2,6
net,0,8.0,8,4.0,5
com,0,5.0,5,4.0,5
by,0,10.0,10,4.0,5
com,1,3.0,5,5.25,7
net,1,1.6666666666666667,3,5.5,8
com.ua,0,8.0,8,4.25,6
cc,1,7.0,9,4.0,8
cn,0,4.0,4,2.0,3
com,1,9.5,18,5.5,8
com,1,6.0,11,5.5,8
pt,0,7.0,7,4.0,7
biz,1,7.0,13,4.8,6
com,0,10.0,10,2.5,3
info,1,7.0,13,4.8,6
com,1,6.0,11,5.25,9
com,1,6.5,12,5.25,9
cc,1,5.0,7,6.666666666666667,14
net,1,8.5,14,6.0,9
com,1,8.0,13,5.0,7
org,1,7.0,11,5.0,7
com,0,13.0,13,5.5,8
com,1,10.0,15,3.857142857142857,7
info,1,14.5,22,4.0,8
com,1,4.0,7,5.2,7
com,1,6.0,11,5.2,7
net,1,4.5,8,5.2,7
com,1,7.5,14,5.2,7
com,1,12.5,24,5.2,7
com,1,7.0,13,5.2,7
com,1,7.5,14,5.2,7
com,1,7.5,14,5.2,7
com,1,8.0,15,5.2,7
com,1,7.0,13,5.2,7
com,1,8.0,15,5.2,7
com,1,6.5,12,5.2,7
com,1,6.5,12,5.2,7
com,1,8.0,15,5.2,7
com,1,6.5,12,5.2,7
com,1,7.0,13,5.2,7
com,1,7.0,13,5.2,7
bg,0,4.0,4,4.0,4
com,0,15.0,15,0.0,0
com,0,12.0,12,0.0,0
com,0,11.0,11,3.5,4
net,0,3.0,3,4.0,5
com,0,9.0,9,0.0,0
info,1,7.0,12,7.0,11
net,0,3.0,3,3.3333333333333335,5
uk,1,6.0,10,7.666666666666667,14
me,1,5.5,8,3.0,3
uk,1,6.0,10,7.666666666666667,14
be,1,14.5,16,5.25,7
me,1,5.5,8,3.5,4
me,1,8.0,13,6.0,8
com,0,17.0,17,5.75,7
com,0,9.0,9,6.0,9
com,0,9.0,9,5.25,9
com,0,9.0,9,5.75,9
com,0,9.0,9,6.5,9
com,0,9.0,9,8.2,12
com,0,9.0,9,5.0,8
com,0,9.0,9,6.5,9
com,0,9.0,9,5.5,10
com,0,9.0,9,6.0,10
com,0,9.0,9,5.5,10
com,0,8.0,8,4.0,6
com,0,10.0,10,3.5,5
com,0,9.0,9,6.25,10
com,0,9.0,9,6.25,10
com,0,9.0,9,5.5,10
tk,0,9.0,9,4.0,8
com,1,4.5,6,4.5,6
com,0,14.0,14,4.2,9
com,0,9.0,9,5.5,10
